,Features,DTC,RFC,GBC
342,311313,0.0,0.0,0.0
343,31132,0.0,0.0,0.0
344,311320,0.0,0.0,0.0
345,31133,0.0,0.0,0.0
346,311330,0.0,0.0,0.0
347,31134,0.0,0.0,0.0
348,311340,0.0,0.0,0.0
349,3114,0.0,0.0,0.0
350,31141,0.0,0.0,0.0
351,311411,0.0,0.0,0.0
352,311412,0.0,0.0,0.0
353,31142,0.0,0.0,0.0
354,311421,0.0,0.0,0.0
355,311422,0.0,0.0,0.0
356,311423,0.0,0.0,0.0
357,3115,0.0,0.0,0.0
358,31151,0.0,0.0,0.0
359,311511,0.0,0.0,0.0
360,311512,0.0,0.0,0.0
361,311513,0.0,0.0,0.0
362,311514,0.0,0.0,0.0
363,31152,0.0,0.0,0.0
364,311520,0.0,0.0,0.0
365,3116,0.0,0.0,0.0
366,31161,0.0,8.391411303918967e-05,0.0
367,311611,0.0,0.0,0.0
368,311612,0.0,0.0,0.0
369,311613,0.0,0.0,0.0
370,311615,0.0,0.0,0.0
371,3117,0.0,1.698816257668338e-05,0.0
372,31171,0.0,1.3427910627907991e-06,0.0
373,311711,0.0,0.0,0.0
374,311712,0.0,0.0,0.0
375,3118,0.0,0.00039020352952774754,0.0
376,31181,0.0,7.028951157706042e-05,0.0
377,311811,0.0,0.00010235429034702462,0.0
378,311812,0.0,0.0,0.0
379,311813,0.0,0.0,0.0
380,31182,0.0,0.0,0.0
381,311821,0.0,0.0,0.0
382,311822,0.0,0.0,0.0
383,311823,0.0,0.0,0.0
384,31183,0.0,0.0,0.0
385,311830,0.0,0.0,0.0
386,3119,0.0,2.515265167627957e-05,0.0
387,31191,0.0,0.0,0.0
388,311911,0.0,0.0,0.0
389,311919,0.0,0.0,0.0
390,31192,0.0,0.0,0.0
391,311920,0.0,0.0,0.0
392,31193,0.0,0.0,0.0
393,311930,0.0,0.0,0.0
394,31194,0.0,0.0,0.0
395,311941,0.0,0.0,0.0
396,311942,0.0,0.0,0.0
397,31199,0.0,5.622230180867927e-06,0.0
398,311991,0.0,0.0,0.0
399,311999,0.0,0.0,0.0
400,312,0.0,0.00019237552605401347,0.0
401,3121,0.0,0.0,0.0
402,31211,0.0,1.0390761846697213e-05,0.0
403,312111,0.0,0.0,0.0
404,312112,0.0,0.0,0.0
405,312113,0.0,1.462405826900277e-06,0.0
406,31212,0.0,0.0,0.0
407,312120,0.0,0.0,0.0
408,31213,0.0,0.0,0.0
409,312130,0.0,0.0,0.0
410,31214,0.0,0.0,0.0
411,312140,0.0,0.0,0.0
412,3122,0.0,0.0,0.0
413,31221,0.0,0.0,0.0
414,312210,0.0,0.0,0.0
415,31222,0.0,0.0,0.0
416,312221,0.0,0.0,0.0
417,312229,0.0,0.0,0.0
418,313,0.0,0.00022713916408909817,0.0016150601743500166
419,3131,0.0,0.0,0.0
420,31311,0.0,0.0,0.0
421,313111,0.0,0.0,0.0
422,313112,0.0,0.0,0.0
423,313113,0.0,0.0,0.0
424,3132,0.0,0.0,0.0
425,31321,0.0,0.0,0.0
426,313210,0.0,0.0,0.0
427,31322,0.0,0.0,0.0
428,313221,0.0,0.0,0.0
429,313222,0.0,0.0,0.0
430,31323,0.0,0.0,0.0
431,313230,0.0,0.0,0.0
432,31324,0.0,0.0,0.0
433,313241,0.0,0.0,0.0
434,313249,0.0,0.0,0.0
435,3133,0.0,0.0,0.0
436,31331,0.0,0.0,0.0
437,313311,0.0,0.0,0.0
438,313312,0.0,0.0,0.0
439,31332,0.0,0.0,0.0
440,313320,0.0,0.0,0.0
441,314,0.0,2.94021370579445e-05,0.0
442,3141,0.0,0.00014361576372169598,0.0
443,31411,0.0,0.0,0.0
444,314110,0.0,0.0,0.0
445,31412,0.0,0.0,0.0
446,314121,0.0,0.0,0.0
447,314129,0.0,0.0,0.0
448,3149,0.0,2.6981409617093606e-05,0.0
449,31491,0.0,4.788058415321589e-05,0.0
450,314911,0.0,0.0,0.0
451,314912,0.0,0.0,0.0
452,31499,0.0,0.0,0.0
453,314991,0.0,0.0,0.0
454,314992,0.0,0.0,0.0
455,314999,0.0,0.0,0.0
456,315,0.0,0.00015037065477490737,0.0
457,3151,0.0,0.0,0.0
